"Country or Area","Element","Year","Unit","Value","Value Footnotes"
"Afghanistan","Gross Production Index Number (2014-2016 = 100)","2018","index","96.39","Fc"
"Afghanistan","Gross Production Index Number (2014-2016 = 100)","2017","index","98.53","Fc"
"Afghanistan","Gross Production Index Number (2014-2016 = 100)","2016","index","104.34","Fc"
"Afghanistan","Gross Production Index Number (2014-2016 = 100)","2015","index","97.52","Fc"
"Afghanistan","Gross Production Index Number (2014-2016 = 100)","2014","index","98.14","Fc"
"Afghanistan","Gross Production Index Number (2014-2016 = 100)","2013","index","94.17","Fc"
"Afghanistan","Gross Production Index Number (2014-2016 = 100)","2012","index","96.97","Fc"
"Afghanistan","Gross Production Index Number (2014-2016 = 100)","2011","index","88.57","Fc"
"Afghanistan","Gross Production Index Number (2014-2016 = 100)","2010","index","92.74","Fc"
"Afghanistan","Gross Production Index Number (2014-2016 = 100)","2009","index","93.35","Fc"
"Afghanistan","Gross Production Index Number (2014-2016 = 100)","2008","index","80.52","Fc"
"Afghanistan","Gross Production Index Number (2014-2016 = 100)","2007","index","85.36","Fc"
"Afghanistan","Gross Production Index Number (2014-2016 = 100)","2006","index","78.13","Fc"
"Afghanistan","Gross Production Index Number (2014-2016 = 100)","2005","index","84.44","Fc"
"Afghanistan","Gross Production Index Number (2014-2016 = 100)","2004","index","75.58","Fc"
"Afghanistan","Gross Production Index Number (2014-2016 = 100)","2003","index","77.55","Fc"
"Afghanistan","Gross Production Index Number (2014-2016 = 100)","2002","index","75.81","Fc"
"Afghanistan","Gross Production Index Number (2014-2016 = 100)","2001","index","63.07","Fc"
"Afghanistan","Gross Production Index Number (2014-2016 = 100)","2000","index","69.39","Fc"
"Afghanistan","Gross Production Index Number (2014-2016 = 100)","1999","index","81.58","Fc"
"Afghanistan","Gross Production Index Number (2014-2016 = 100)","1998","index","82.17","Fc"
"Afghanistan","Gross Production Index Number (2014-2016 = 100)","1997","index","78.16","Fc"
"Afghanistan","Gross Production Index Number (2014-2016 = 100)","1996","index","73.07","Fc"
"Afghanistan","Gross Production Index Number (2014-2016 = 100)","1995","index","69.48","Fc"
"Afghanistan","Gross Production Index Number (2014-2016 = 100)","1994","index","66.58","Fc"
"Afghanistan","Gross Production Index Number (2014-2016 = 100)","1993","index","63.08","Fc"
"Afghanistan","Gross Production Index Number (2014-2016 = 100)","1992","index","59.85","Fc"
"Afghanistan","Gross Production Index Number (2014-2016 = 100)","1991","index","61.67","Fc"
"Afghanistan","Gross Production Index Number (2014-2016 = 100)","1990","index","53.45","Fc"
"Afghanistan","Gross Production Index Number (2014-2016 = 100)","1989","index","49.84","Fc"
"Afghanistan","Gross Production Index Number (2014-2016 = 100)","1988","index","50.17","Fc"
"Afghanistan","Gross Production Index Number (2014-2016 = 100)","1987","index","50.60","Fc"
"Afghanistan","Gross Production Index Number (2014-2016 = 100)","1986","index","49.12","Fc"
"Afghanistan","Gross Production Index Number (2014-2016 = 100)","1985","index","53.74","Fc"
"Afghanistan","Gross Production Index Number (2014-2016 = 100)","1984","index","57.69","Fc"
"Afghanistan","Gross Production Index Number (2014-2016 = 100)","1983","index","59.98","Fc"
"Afghanistan","Gross Production Index Number (2014-2016 = 100)","1982","index","61.65","Fc"
"Afghanistan","Gross Production Index Number (2014-2016 = 100)","1981","index","62.41","Fc"
"Afghanistan","Gross Production Index Number (2014-2016 = 100)","1980","index","62.63","Fc"
"Afghanistan","Gross Production Index Number (2014-2016 = 100)","1979","index","62.82","Fc"
"Afghanistan","Gross Production Index Number (2014-2016 = 100)","1978","index","63.91","Fc"
"Afghanistan","Gross Production Index Number (2014-2016 = 100)","1977","index","59.92","Fc"
"Afghanistan","Gross Production Index Number (2014-2016 = 100)","1976","index","66.65","Fc"
"Afghanistan","Gross Production Index Number (2014-2016 = 100)","1975","index","62.00","Fc"
"Afghanistan","Gross Production Index Number (2014-2016 = 100)","1974","index","60.00","Fc"
"Afghanistan","Gross Production Index Number (2014-2016 = 100)","1973","index","57.72","Fc"
"Afghanistan","Gross Production Index Number (2014-2016 = 100)","1972","index","52.95","Fc"
"Afghanistan","Gross Production Index Number (2014-2016 = 100)","1971","index","50.32","Fc"
"Afghanistan","Gross Production Index Number (2014-2016 = 100)","1970","index","53.83","Fc"
"Afghanistan","Gross Production Index Number (2014-2016 = 100)","1969","index","58.90","Fc"
"Afghanistan","Gross Production Index Number (2014-2016 = 100)","1968","index","57.88","Fc"
"Afghanistan","Gross Production Index Number (2014-2016 = 100)","1967","index","55.39","Fc"
"Afghanistan","Gross Production Index Number (2014-2016 = 100)","1966","index","50.68","Fc"
"Afghanistan","Gross Production Index Number (2014-2016 = 100)","1965","index","49.12","Fc"
"Afghanistan","Gross Production Index Number (2014-2016 = 100)","1964","index","47.06","Fc"
"Afghanistan","Gross Production Index Number (2014-2016 = 100)","1963","index","44.00","Fc"
"Afghanistan","Gross Production Index Number (2014-2016 = 100)","1962","index","43.73","Fc"
"Afghanistan","Gross Production Index Number (2014-2016 = 100)","1961","index","43.03","Fc"
"Afghanistan","Gross per capita Production Index Number (2014-2016 = 100)","2018","index","89.18","Fc"
"Afghanistan","Gross per capita Production Index Number (2014-2016 = 100)","2017","index","93.35","Fc"
"Afghanistan","Gross per capita Production Index Number (2014-2016 = 100)","2016","index","101.41","Fc"
"Afghanistan","Gross per capita Production Index Number (2014-2016 = 100)","2015","index","97.46","Fc"
"Afghanistan","Gross per capita Production Index Number (2014-2016 = 100)","2014","index","101.14","Fc"
"Afghanistan","Gross per capita Production Index Number (2014-2016 = 100)","2013","index","100.36","Fc"
"Afghanistan","Gross per capita Production Index Number (2014-2016 = 100)","2012","index","107.02","Fc"
"Afghanistan","Gross per capita Production Index Number (2014-2016 = 100)","2011","index","101.13","Fc"
"Afghanistan","Gross per capita Production Index Number (2014-2016 = 100)","2010","index","109.28","Fc"
"Afghanistan","Gross per capita Production Index Number (2014-2016 = 100)","2009","index","113.06","Fc"
"Afghanistan","Gross per capita Production Index Number (2014-2016 = 100)","2008","index","99.89","Fc"
"Afghanistan","Gross per capita Production Index Number (2014-2016 = 100)","2007","index","108.32","Fc"
"Afghanistan","Gross per capita Production Index Number (2014-2016 = 100)","2006","index","101.65","Fc"
"Afghanistan","Gross per capita Production Index Number (2014-2016 = 100)","2005","index","113.19","Fc"
"Afghanistan","Gross per capita Production Index Number (2014-2016 = 100)","2004","index","105.11","Fc"
"Afghanistan","Gross per capita Production Index Number (2014-2016 = 100)","2003","index","112.62","Fc"
"Afghanistan","Gross per capita Production Index Number (2014-2016 = 100)","2002","index","115.35","Fc"
"Afghanistan","Gross per capita Production Index Number (2014-2016 = 100)","2001","index","100.39","Fc"
"Afghanistan","Gross per capita Production Index Number (2014-2016 = 100)","2000","index","114.84","Fc"
"Afghanistan","Gross per capita Production Index Number (2014-2016 = 100)","1999","index","139.09","Fc"
"Afghanistan","Gross per capita Production Index Number (2014-2016 = 100)","1998","index","143.16","Fc"
"Afghanistan","Gross per capita Production Index Number (2014-2016 = 100)","1997","index","138.85","Fc"
"Afghanistan","Gross per capita Production Index Number (2014-2016 = 100)","1996","index","133.28","Fc"
"Afghanistan","Gross per capita Production Index Number (2014-2016 = 100)","1995","index","131.93","Fc"
"Afghanistan","Gross per capita Production Index Number (2014-2016 = 100)","1994","index","134.09","Fc"
"Afghanistan","Gross per capita Production Index Number (2014-2016 = 100)","1993","index","137.16","Fc"
"Afghanistan","Gross per capita Production Index Number (2014-2016 = 100)","1992","index","142.08","Fc"
"Afghanistan","Gross per capita Production Index Number (2014-2016 = 100)","1991","index","159.48","Fc"
"Afghanistan","Gross per capita Production Index Number (2014-2016 = 100)","1990","index","148.09","Fc"
"Afghanistan","Gross per capita Production Index Number (2014-2016 = 100)","1989","index","144.41","Fc"
"Afghanistan","Gross per capita Production Index Number (2014-2016 = 100)","1988","index","148.49","Fc"
"Afghanistan","Gross per capita Production Index Number (2014-2016 = 100)","1987","index","149.95","Fc"
"Afghanistan","Gross per capita Production Index Number (2014-2016 = 100)","1986","index","143.94","Fc"
"Afghanistan","Gross per capita Production Index Number (2014-2016 = 100)","1985","index","154.79","Fc"
"Afghanistan","Gross per capita Production Index Number (2014-2016 = 100)","1984","index","162.55","Fc"
"Afghanistan","Gross per capita Production Index Number (2014-2016 = 100)","1983","index","164.52","Fc"
"Afghanistan","Gross per capita Production Index Number (2014-2016 = 100)","1982","index","164.58","Fc"
"Afghanistan","Gross per capita Production Index Number (2014-2016 = 100)","1981","index","162.96","Fc"
"Afghanistan","Gross per capita Production Index Number (2014-2016 = 100)","1980","index","161.26","Fc"
"Afghanistan","Gross per capita Production Index Number (2014-2016 = 100)","1979","index","161.09","Fc"
"Afghanistan","Gross per capita Production Index Number (2014-2016 = 100)","1978","index","164.75","Fc"
"Afghanistan","Gross per capita Production Index Number (2014-2016 = 100)","1977","index","156.45","Fc"
"Afghanistan","Gross per capita Production Index Number (2014-2016 = 100)","1976","index","177.08","Fc"
"Afghanistan","Gross per capita Production Index Number (2014-2016 = 100)","1975","index","168.02","Fc"
"Afghanistan","Gross per capita Production Index Number (2014-2016 = 100)","1974","index","166.22","Fc"
"Afghanistan","Gross per capita Production Index Number (2014-2016 = 100)","1973","index","163.94","Fc"
"Afghanistan","Gross per capita Production Index Number (2014-2016 = 100)","1972","index","154.44","Fc"
"Afghanistan","Gross per capita Production Index Number (2014-2016 = 100)","1971","index","150.81","Fc"
"Afghanistan","Gross per capita Production Index Number (2014-2016 = 100)","1970","index","165.67","Fc"
"Afghanistan","Gross per capita Production Index Number (2014-2016 = 100)","1969","index","185.94","Fc"
"Afghanistan","Gross per capita Production Index Number (2014-2016 = 100)","1968","index","187.13","Fc"
"Afghanistan","Gross per capita Production Index Number (2014-2016 = 100)","1967","index","183.16","Fc"
"Afghanistan","Gross per capita Production Index Number (2014-2016 = 100)","1966","index","171.31","Fc"
"Afghanistan","Gross per capita Production Index Number (2014-2016 = 100)","1965","index","169.67","Fc"
"Afghanistan","Gross per capita Production Index Number (2014-2016 = 100)","1964","index","166.08","Fc"
"Afghanistan","Gross per capita Production Index Number (2014-2016 = 100)","1963","index","158.55","Fc"
"Afghanistan","Gross per capita Production Index Number (2014-2016 = 100)","1962","index","160.82","Fc"
"Afghanistan","Gross per capita Production Index Number (2014-2016 = 100)","1961","index","161.40","Fc"
"Africa","Gross Production Index Number (2014-2016 = 100)","2018","index","103.24","Fc"
"Africa","Gross Production Index Number (2014-2016 = 100)","2017","index","101.49","Fc"
"Africa","Gross Production Index Number (2014-2016 = 100)","2016","index","99.42","Fc"
"Africa","Gross Production Index Number (2014-2016 = 100)","2015","index","101.04","Fc"
"Africa","Gross Production Index Number (2014-2016 = 100)","2014","index","99.54","Fc"
