,mass,year,lat,lon
0,21.0,1880.0,50.775,6.08333
7,30000.0,1814.0,44.21667,0.61667
14,1800.0,1838.0,29.71667,77.95
19,6000.0,1806.0,44.11667,4.08333
23,700.0,1835.0,51.78333,-1.78333
24,3200.0,1873.0,36.23333,37.13333
25,908.0,1860.0,44.88333,8.75
26,9251.0,1900.0,50.95,31.81667
27,228000.0,1883.0,45.26667,10.15
28,32000.0,1899.0,42.53333,-85.88333
32,6400.0,1895.0,27.66667,78.25
33,2700.0,1880.0,26.58333,85.56667
34,3200.0,1898.0,44.61667,-70.75
39,1500.0,1869.0,-22.96667,-44.31667
44,3200.0,1803.0,43.86667,5.38333
48,41.0,1805.0,42.45,9.03333
51,2000.0,1886.0,43.03333,12.55
53,94.2,1896.0,20.06667,-103.66667
56,800.0,1836.0,44.38333,5.16667
57,50000.0,1865.0,36.16667,3.66667
58,2000.0,1842.0,44.33333,3.23333
59,50000.0,1858.0,43.08333,0.58333
62,146.0,1855.0,25.0,-103.5
65,18000.0,1814.0,48.6,38.0
71,11500.0,1871.0,-6.91667,107.6
72,15000.0,1892.0,27.7,76.33333
77,3200.0,1842.0,42.38333,-2.5
79,17.0,1886.0,52.0,9.1
84,21000.0,1892.0,45.41667,-98.31667
90,14000.0,1893.0,51.16667,-117.33333
103,1440.0,1811.0,41.68333,-3.8
105,13.9,1859.0,42.53333,-73.83333
106,2000.0,1859.0,43.21667,-0.23333
108,18.0,1877.0,20.88333,74.83333
110,100.0,1893.0,20.83333,71.46667
113,4000.0,1827.0,53.1,23.2
114,1900.0,1887.0,50.13333,27.16667
118,6000.0,1843.0,34.16667,-80.28333
119,1039.0,1895.0,25.38333,82.6
121,330000.0,1899.0,60.4,25.8
125,470.0,1833.0,49.36667,16.63333
128,56.0,1804.0,23.0,-102.0
131,1676.0,1808.0,44.86667,10.05
132,8600.0,1894.0,21.95,78.03333
134,7000.0,1852.0,48.15,24.28333
135,500.0,1812.0,55.46667,35.86667
136,614.0,1823.0,51.33333,33.88333
140,762.0,1886.0,40.5,-80.08333
141,39000.0,1847.0,50.6,16.3
143,7250.0,1855.0,53.4,9.1
153,5000.0,1863.0,46.45,25.78333
154,1500.0,1852.0,26.78333,82.83333
155,29000.0,1861.0,27.08333,84.08333
